uid,grid_id
v37f1105c1,34379
03v37f1105,34379
03v37f1083,34379
03v37f1084,35195
v37f1084c1,35195
06v80f2304,37722
v80f2304c1,37722
06v80f2295,37722
v47f1348c1,19759
04v47f1348,19759
03v37f1110,34381
v37f1110c2,34381
v37f1110c1,34381
01v01f0001,54118
03v37f1081,34382
v37f1081c1,34382
v37f1089c1,35738
03v37f1089,35738
06v80f2291,37994
06v80f2306,37991
06v80f2286,37991
80f2306 c1,37991
06v80f2305,37991
v80f2305c1,37991
06v80f2298,37720
06v80f2299,37988
05v56f1546,3599
04v47f1344,20033
04v47f1339,20033
v47f1339c1,20033
03v37f1096,33574
v37f1096c1,33574
02v18f0547,41028
v01f0010c1,56284
01v01f0010,56284
02v18f0556,39679
02v18f0542,39679
01v01f0008,55743
03v37f1097,33842
03v37f1100,33842
03v37f1095,35198
v37f1095c1,35198
v18f0546c1,39407
02v18f0546,39407
05v56f1565,4684
05v56f1554,4684
05v56f1538,4684
05v56f1558,2783
05v56f1548,3063
06v80f2294,37718
06v80f2300,38260
02v18f0535,40760
02v18f0537,39953
02v18f0538,40218
02v18f0545,40223
01v01f0011,53580
01v01f0029,53580
01v01f0019,53580
04v47f1345,20304
v47f1345c1,20304
05v56f1543,4143
02v18f0541,39406
05v64f1783,10084
05V64F1782,10084
03v39f1155,34129
v39f1155c1,34129
03v39f1154,34128
v39f1154c1,34128
v39f1174c1,34128
03v39f1174,34128
02v15f0434,46196
02v15f0431,46196
02v23f0687,46196
v39f1170c1,33855
03v39f1170,33855
03v39f1148,33855
01v05f0144,48686
v14f0402c1,45669
02v14f0402,45669
01v05f0137,47065
06v76f2168,36622
v37f1091c2,34649
03v37f1091,34649
v37f1091c1,34649
05v64f1778,8726
05v64f1781,8726
06v76f2167,36346
06v76f2178,36346
01v08f0225,53036
02v14f0391,43762
02v14f0413,43762
04v55f1515,12969
04v55f1516,12969
01v08f0219,53305
01v08f0207,53305
01v08f0226,53305
02v14f0395,44850
01v05f0149,45705
02v22f0663,43216
v22f0652c1,43216
02v22f0652,43216
v22f0665c1,43216
02v22f0665,43216
04v43f1233,14037
20v22f0676,43487
15f0450 c1,47550
02v15f0450,47550
02v15f0465,47550
01v03f0070,45439
06v76f2161,35805
v43f1221c1,14578
04v43f1221,14578
6v80f2285c,37993
06v80f2285,37993
02v20f0619,45656
01v11f0329,57377
02v15f0437,47014
02v15f0454,47557
02v15f0662,47820
02v15f0426,47820
01v03f0077,45168
v14f0411c1,45934
02v14f0411,45934
v14f0410c1,45934
02v14f0410,45934
v14f0410c2,45934
02v19f0591,36436
02v15f0455,47549
04v50f1405,17843
v50f1405c1,17843
05v60f1655,6289
02v15f0427,46734
02v18f0536,39413
06v80f2288,38804
04v43f1224,13498
04v43f1234,13498
04V43F1227,13498
05v60f1658,6023
01v03f0084,43809
01v02f0044,56549
01v11f0325,57636
06v76f2172,36078
04v51f1435,17009
04V51F1434,17009
04V51F1423,17009
04v51f1419,16196
51f1419 c1,16196
04v51f1421,16196
02v15f0451,48635
05v62f1733,7080
02v14f0407,45398
v08f0221c1,53575
01v08f0221,53575
01v08f0217,53575
05v66f1853,7358
01v08f0215,53034
04v46f1320,16218
46f1320 c1,16218
04v50f1411,18379
v50f1411c1,18379
06v70f1972,37191
01v10f0280,48162
06v70f1955,36378
01v10f0295,47081
01v12f0345,55479
06v70f1980,36653
01v08f0212,52491
01v08f0222,52491
03v28f0828,28401
v28f0828c1,28401
01v01f0018,55477
01v10f0284,47893
05v66f1852,7895
v27f0819c2,28136
04v50f1409,18108
04V44F1249,18108
03v28f0852,27592
05v65f1803,8988
04v50f1413,18115
v50f1413c1,18115
04v50f1412,18115
03v27f0819,28407
v27f0819c1,28407
02v21f0624,39711
v75f2133c2,33092
06v75f2133,33092
v75f2133c1,33092
v75f2128c1,32281
06v75f2128,32281
03v27f0808,28678
01v04f0105,46232
v04f0105c1,46232
01V06F0166,46232
01V06F0158,46232
01v06f0161,46780
05v65f1828,8178
05v65f1822,8178
05v65f1824,8178
03v28f0835,27318
v28f0848c1,27318
v28f0835c1,27318
03v28f0848,27318
b03v280833,27318
04v50f1404,18383
04v50f1400,18383
04v50f1402,18383
03v28f0842,27861
v28f0842c1,27861
03v28f0850,27861
02v21f0635,39984
02v21f0626,39984
02v21f0648,40798
02v21f0645,38899
b05v65f827,9531
02v21f0634,40253
04v50f1397,19197
05v65f1819,9263
02v21f0641,39443
21f0623 c1,39443
02v21f0623,39443
06v75f2147,31735
03v31f0918,34369
v31f0925c1,34369
03v31f0925,34369
04v53f1458,12695
02v25f0730,48377
02v25f0743,48377
v31f0934c1,33559
03v31f0934,33559
02v25f0747,48640
04v53f1473,12962
04v53f1476,12962
v31f0917c1,34370
03v31f0917,34370
03v31f0927,34370
04v53f1461,12967
04v55f1518,12967
02v25f0757,47290
05v64f1798,9541
05v64f1788,9541
02v25f0746,48106
v31f0909c1,33285
03v31f0909,33285
01v03f0076,44899
03v31f0910,33282
v31f0910c1,33282
v31f0915c1,33283
03v31f0915,33283
03v31f0941,33283
03v31f0926,33283
03v31f0924,34368
01v03f0094,45435
06v79f2276,29308
06v79f2253,29308
02v25f0761,48100
01v03f0065,44360
01v03f0072,45167
01v03f0080,45164
05v64f1785,9809
02v25f0741,48645
02v25f0740,48645
04v53f1468,12418
04v53f1474,12418
04v53f1480,12418
v13f0390c1,51143
01v13f0390,51143
06v70f1953,37728
02v20f0599,45658
02v20f0608,45659
01v13f0384,52768
02v20f0607,45387
05v62f1728,6000
02v20f0600,45657
v37f1104c1,33570
v37f1104c2,33570
03v37f1104,33570
v37f1102c1,34112
03v37f1102,34112
02v20f0621,45118
02v20f0593,45118
02v20f0612,45118
02v20f0602,45118
02v22f0672,44030
03v37f1090,34657
05v62f1713,6545
02v20f0620,45117
02v20f0614,45117
02v20f0615,45117
03v37f1098,34921
04v46f1323,16489
v37f1109c1,33032
03v37f1109,33032
v37f1088c2,33840
03v37f1088,33840
v37f1088c1,33840
04v49f1377,21108
49f1392 c1,21108
04v49f1392,21108
b04v461311,17030
v46f1311c1,17030
04v46f1328,17030
05v62f1739,7352
05v62f1725,6002
03v37f1101,34923
v37f1101c1,34923
04v49f1390,21106
v49f1390c1,21106
02v20f0605,45386
05v62f1732,5730
06v70f1962,35831
02v22f0666,44032
02v22f0654,44032
06V77F2203,38254
05V57F1571,75
5v57f1595c,340
V57F1595C1,340
05V57F1595,340
V77F2195C1,36899
06V77F2195,36899
04V54F1490,24084
01V05F0145,45978
05V57F1585,1427
v35f1032c2,33023
03v35f1032,33023
v35f1032c1,33023
04V54F1508,23813
v54f1500c1,23813
04v54f1492,23813
01V05F0135,46247
05V57F1597,2240
06V77F2194,37169
06V77F2202,37441
04V54F1487,23272
V54F1487C1,23272
04v54f1489,23272
v54f1489c1,23272
03v35f1024,32751
v35f1024c1,32751
v35f1024c2,32751
v35f1029c1,32751
03v35f1029,32751
01V05F0143,48144
04V54F1502,23545
04V54F1501,23545
04v54f1495,23545
v54f1495c1,23545
04v54f1506,23545
06V77F2199,36629
V77F2199C1,36629
01V05F0140,48141
06V77F2183,36627
06V77F2200,38795
03v35f1030,33025
03v35f1037,33028
v35f1037c1,33028
V54F1488C1,23271
04V54F1488,23271
02v22f0678,43215
02v22f0658,43215
06V77F2204,38796
03v35f1036,32482
02v22f0683,43758
02v22f0682,43758
02v22f0664,43758
03v35f1026,33027
01V05F0126,47879
03v35f1025,33297
v35f1021c2,33297
v35f1021c1,33297
03v35f1021,33297
05V57F1587,1699
v35f1023c1,33298
01V05F0124,47327
03v35f1033,33022
02v35f1023,33299
04v45f1301,13783
v45f1298c1,13783
v45f1299c1,13783
04v45f1298,13783
03v34f1001,35447
01v08f0206,52761
v34f0993c1,35717
03v34f0993,35717
05v68f1915,1983
03v34f1013,35178
v34f1013c1,35178
01v08f0203,53306
v34f1011c1,35450
03v34f1011,35450
v34f0998c1,34634
03v34f0990,35443
v34f0990c1,35443
01v08f0214,53303
02v25f0760,48913
02v25f0758,48913
01v08f0220,53035
01v08f0237,53035
04v45f1290,14596
04v45f1284,14596
03v34f0991,35449
v34f1006c1,35449
03v34f1006,35449
05v68f1897,1438
06v70f1966,35840
01v08f0230,53576
03v34f0998,34635
v34f0998c2,34635
05v68f1904,1984
05v68f1892,2251
02v25f0753,49186
02v25f0763,48098
06v70f1958,37731
05v68f1900,1708
04v45f1294,15411
02v25f0748,47833
02v25f0737,47833
04v45f1277,15410
v45f1277c1,15410
05v68f1896,623
03v34f1012,34631
03v34f0999,34631
06v70f1965,37461
05v68f1916,1441
06v70f1957,38271
01v08f0205,53577
01v08f0234,53577
01v08f0228,53577
06v70f1971,37460
06v70f1979,36916
02v25f0744,48369
02v25f0756,48369
03v34f1002,35448
06v70f1961,35562
04v45f1276,15409
04v45f1278,15409
v45f1278c1,15409
02v25f0754,47827
02v25f0742,47827
2240133433,42304
06v78f2240,42304
v39f1172c2,32502
v39f1172c1,32502
03v39f1172,32502
v52f1443c1,15926
v52f1451c1,15926
04v52f1443,15926
04v52f1451,15926
v15f0449c1,48097
b0215f0449,48097
06v78f2217,42302
03v39f1156,32773
v39f1163c1,32773
03v39f1163,32773
03v39f1152,32773
v39f1161c1,32773
03v39f1161,32773
06v78f2220,40403
06v78f2241,40948
06v74f2241,40948
02v15f0463,48364
06v78f2218,41487
2218113630,41487
06v78f2234,40674
v39f1165c1,33315
03v39f1165,33315
03v39f1173,33584
03v39f1167,33584
03v39f1177,33584
04v52f1448,15113
04v52f1440,15113
04v52f1442,15113
-04 125246,48436
01v10f0271,48436
05v66f1829,7627
05v61f1690,4924
02v15f0464,47548
02v15f0432,47285
01v10f0292,48435
05v66f1835,8172
02v15f0436,48087
04v52f1446,15927
02v15f0440,47554
05v61f1704,6007
04v52f1453,16201
03v39f1175,33312
06v71f2002,21169
06v71f2013,21169
v39f1178c1,33045
03v39f1178,33045
03v39f1151,33045
01v12f0346,55753
02v20f0611,45391
02v20f0606,45390
02v20f0618,45390
02v19f0590,38062
v19f0590c1,38062
05v63f1752,6549
05V63F1750,6549
03v36f1059,33021
03v36f1080,33021
03v36f1062,33021
02v19f0587,37242
02v19f0570,37242
02v19f0584,37242
05v63f1768,7091
03v35f1034,33026
04v47f1353,20303
04v47f1354,20303
01v11f0300,57366
01v11f0321,57366
03v39f1171,33310
04v53f1470,12150
02v19f0592,37246
02v19f0571,36433
02v19f0589,37516
01v11f0318,57915
01v11f0306,57915
v11f0306c1,57915
06v71f1990,22526
06v71f1999,22526
03v32f0954,34643
03v32f0954,34643
04v47f1336,20032
04v47f1334,20032
v47f1334c1,20032
03v27f0818,29489
03v27f0802,29489
v27f0823c1,29489
03v27f0807,30306
v19f0588c1,36979
02v19f0588,36979
04v48f1375,18675
03v27f0803,28947
02v26f0778,44560
02v26f0787,44560
01v09f0241,48706
05v60f1664,7367
01v01f0005,56019
01v01f0013,56019
02v26f0776,43212
02v22f0667,43212
06v79f2247,29306
01v05f0146,45982
01v05f0128,45982
v05f0128c1,45982
01v09f0262,50060
02v26f0784,42933
v26f0784c1,42933
04v55f1535,13780
55f1535 c1,13780
05v60f1666,7649
01v01f0026,55749
01v05f0139,47601
01v05f0131,47601
06v71f1998,23071
06v71f1986,21987
01v05f0132,46253
02v16f0493,35591
v16f0493c1,35591
v16f0484c1,35054
02v16f0484,35054
v32f0950c1,35995
03v32f0950,35995
06v72f2029,32585
v32f0967c2,34913
v32f0967c1,34913
v32f0958c1,34913
03v32f0967,34913
03v32f0958,34913
05v66f1845,7899
03v32f0968,35727
v32f0968c1,35727
05v63f1756,7634
02v16f0482,35053
v16f0482c1,35053
v16f0468c1,35053
02v16f0468,35053
05v66f1844,8443
5v66f1844c,8443
02v16f0497,35326
04v45f1289,14323
03v32f0952,35184
02v16f0480,34783
06v72f2036,33124
02v16f0475,34778
v16f0475c1,34778
04v45f1303,14594
v32f0956c1,34917
03v32f0956,34917
05v63f1751,6275
05V63F1762,6275
v45f1300c1,14324
04v45f1300,14324
04v45f1292,14324
01v11f0314,58179
04v45f1291,14053
04v45f1287,14053
05v63f1757,7904
01v11f0326,57639
01v11f0305,57639
06v72f2033,32856
V72F2040C1,32856
06V72F2040,32856
04v45f1299,13784
03v32f0966,36269
05v63f1767,7092
03v32f0946,35188
03v32f0955,34915
01v11f0310,59270
03v37f1086,34114
v37f1086c1,34114
01v05f0123,47060
v73f2087c1,33933
06v73f2087,33933
v73f2081c2,33933
v73f2081c1,33933
06v73f2081,33933
06v73f2051,33933
01v01f0024,55204
01v01f0015,55204
01v01f0021,55741
01v05f0129,47875
v73f2065c1,32576
06v73f2065,32576
02v15f0425,44839
15f0425 c1,44839
04v49f1380,20837
v49f1380c1,20837
01v10f0274,47623
02v18f0561,39404
03v36f1065,33290
06v73f2044,33932
06V73F2085,33932
06V73F2067,33932
01v05f0142,47330
02v15f0446,47007
02v23f0685,47007
01v13f0377,53039
04v50f1398,18655
06v75f2123,32821
04v50f1408,17842
06v75f2135,32818
06v75f2125,32276
05v59f1638,17118
06v75f2143,33359
v28f0834c1,28674
03v28f0834,28674
06v75f2136,33364
02v23f0699,45925
v23f0699c1,45925
02v23f0702,45925
01v13f0372,51958
01v13f0383,51958
01v13f0386,52224
02v23f0700,47281
02v23f0684,47281
05v59f1637,17121
03v28f0853,27322
03v28f0830,27588
v28f0830c1,27588
05v59f1627,17663
05v59f1628,17663
06v75f2130,33360
01v13f0385,52227
06v75f2131,34446
06v75f2145,34446
06v75f2129,32280
02v23f0696,47276
02v23f0690,47276
01v13f0370,52230
04v50f1415,18384
04v50f1399,18384
v50f1399c1,18384
03v28f0844,28403
03v28f0845,27315
05v59f1630,16303
03v28f0839,27590
02v23f0694,46736
02v23f0693,46736
05v59f1645,15493
02v23f0692,46468
02v15f0447,46468
03v28f0841,27862
04v49f1384,21919
04v49f1395,21919
v49f1395c1,21919
v49f1395c2,21919
04v49f1379,20836
05v59f1653,17396
02v23f0697,45922
02v23f0695,45922
02v15f0458,45922
06v74f2097,30353
06v74f2108,30353
74f2108 c2,30353
01v09f0254,48980
02v17f0512,39959
04v46f1327,16756
03v30f0882,32196
v30f0896c1,32196
03v30f0896,32196
04v55f1525,12426
v55f1525c1,12426
04v55f1523,12426
v55f1523c1,12426
v55f1536c1,12426
04v55f1536,12426
v46f1324c1,16759
04v46f1324,16759
02v16f0471,36945
02v16f0491,36404
02v16f0467,36944
03v34f0994,34905
v34f0994c1,34905
03v34f0996,34905
06v75f2132,33361
03v29f0878,32460
01v11f0323,56292
01v11f0309,58999
05v68f1910,899
02v17f0523,41860
v29f0879c1,33816
03v29f0879,33816
03V29F0868,33816
05v68f1919,1166
05v68f1891,1166
02v17f0520,40505
06v75f2142,32010
06v75f2121,32551
03v36f1066,33291
05v61f1711,5468
03v36f1056,33836
v36f1056c1,33836
04v53f1464,12420
v53f1464 1,12420
04v53f1478,12420
v53f1478c1,12420
06v69f1936,24462
v69f1936c1,24462
06v69f1930,23108
03v36f1057,32747
03v36f1058,32747
v36f1058c1,32747
06v81f2331,25255
v81f2331c1,25255
04v53f1459,12963
03v36f1179,33288
03v31f0920,33288
v31f0920c1,33288
v31f0920c2,33288
03v36f1071,33292
03v36f1073,33833
03v36f1063,33833
05v61f1706,5735
06v69f1927,24192
01v01f0033,55746
01v01f0034,55746
04v53f1472,12151
02v22f0673,43486
06v81f2334,26075
v53f1483c1,12419
04v53f1483,12419
v36f1073c1,34104
v22f0656c1,44298
02v22f0656,44298
01v01f0002,53845
05v61f1705,5196
05v61f1712,5196
v01f0004c1,54121
01v01f0004,54121
v36f1051c1,34375
03v36f1051,34375
05v61f1708,4926
03v36f1068,33020
01v01f0017,54386
06v69f1950,24465
04v53f1467,11880
05v59f1634,17930
v12f0362c2,54132
01v12f0362,54132
02v24f0727,35652
06v73f2070,33928
04v52f1437,15383
04v52f1445,16470
04v51f1430,16470
04v51f1424,16470
51f1424 c1,16470
v52f1438c1,15928
04v52f1438,15928
04v52f1455,15928
02v24f0713,35098
02v24f0715,36181
05v59f1641,17126
02v24f0708,36182
02v24f0717,36182
02v24f0707,36182
03v38f1133,33600
v52f1447c1,16199
04v52f1447,16199
04v51f1427,16199
06v73f2061,33930
06v73f2077,33930
v52f1445c1,16469
04v51f1422,16469
b05v591635,18476
03v38f1128,31700
01v12f0341,54666
01v12f0359,54668
01v12f0363,54668
03v38f1116,33598
v38f1116c1,33598
03v38f1115,33598
03v38f1143,33598
03v39f1150,33042
v39f1150c1,33042
06v73f2072,33663
01v12f0344,55215
06v73f2071,33384
01v12f0351,55213
03v38f1123,33327
03v38f1139,33327
06v73f2076,33658
05v59f1654,17938
v12f0362c1,54131
04v51f1425,16736
v30f0888c1,31658
03v30f0888,31658
03v30f0883,31658
v30f0883c1,31658
02v26f0772,44565
02v26f0779,44565
01v05f0148,47877
03v30f0897,32198
v30f0897c2,32198
02v23f0686,46737
02v15f0460,46737
v46f1310c1,17304
04v46f1314,17304
04v46f1310,17304
02v26f0771,43750
v45f1293c1,15141
03v30f0885,32200
03v30f0892,32200
02v26f0795,43479
01v07f0174,47888
01v07f0179,47888
05f0125c-1,47872
01v05f0125,47872
v26f0764c1,44564
02v26f0764,44564
05v66f1839,7896
04v45f1293,15140
05v59f1642,17389
06v69f1931,23377
v81f2320c1,26345
06v81f2320,26345
01v03f0087,45437
01v03f0083,45437
v30f0897c1,31927
03v30f0889,31659
v30f0887c1,31929
03v30f0887,31929
06v81f2319,26344
06v81f2336,26344
81F2333 C1,26344
06V81F2333,26344
02v26f0766,44023
